City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,colonia,50.9333,6.95,23.19,85,0,2.57,DE,1723655807
147,college station,30.628,-96.3344,34.42,56,75,4.12,US,1723655808
148,tazacorte,28.629,-17.9293,25.54,65,20,6.69,ES,1723655810
149,catriel,-37.8791,-67.7956,19.92,25,98,5.39,AR,1723655811
150,kavaratti,10.5669,72.642,25.07,93,100,9.52,IN,1723655813
151,west island,-12.1568,96.8225,26.99,74,40,5.14,CC,1723655814
152,cabedelo,-6.9811,-34.8339,28.37,71,56,8.66,BR,1723655815
153,kuta,-8.7233,115.1723,24.97,83,20,5.14,ID,1723655817
154,college,64.8569,-147.8028,12.26,86,75,0.89,US,1723655818
155,chonchi,-42.6128,-73.8092,13.4,65,12,1.86,CL,1723655820
156,kalkaman,51.9525,76.0211,25.14,43,87,2.82,KZ,1723655821
157,mlowo,-9.0,32.9833,19.74,46,9,2.22,TZ,1723655822
158,panchgani,17.9167,73.8167,21.71,97,100,1.57,IN,1723655824
159,zebbug,35.8719,14.4411,32.88,29,0,2.57,MT,1723655825
160,la'ie,21.6477,-157.9253,25.81,81,29,2.68,US,1723655827
161,zyrya,40.3661,50.2917,28.05,65,0,4.02,AZ,1723655828
162,ulladulla,-35.35,150.4667,14.87,96,80,2.12,AU,1723655830
163,port saint john's,-31.6229,29.5448,17.63,50,0,11.25,ZA,1723655831
164,nyrob,60.733,56.7202,10.64,99,100,1.8,RU,1723655832
165,hasaki,35.7333,140.8333,26.22,89,3,1.58,JP,1723655834
166,as sulayyil,20.4607,45.5779,41.14,17,35,3.47,SA,1723655835
167,taltal,-25.4,-70.4833,16.87,68,24,1.17,CL,1723655837
168,runing,33.0011,114.3542,24.23,94,0,2.78,CN,1723655838
169,angaur state,6.906,134.13,28.3,73,100,1.17,PW,1723655840
170,khandyga,62.6667,135.6,6.23,56,2,2.81,RU,1723655841
171,shanyang,26.6702,119.2051,19.91,96,79,0.42,CN,1723655842
172,dhidhdhoo,6.8833,73.1,27.95,76,100,9.94,MV,1723655844
173,lago da pedra,-4.3333,-45.1667,37.59,23,5,3.86,BR,1723655845
174,praia da vitoria,38.7333,-27.0667,27.14,78,40,2.66,PT,1723655847
175,dunedin,-45.8742,170.5036,8.78,75,68,2.94,NZ,1723655545
176,anna regina,7.2644,-58.5077,30.68,57,10,3.41,GY,1723655849
177,san luis de la loma,17.2706,-100.8939,29.75,63,99,1.4,MX,1723655851
178,aykhal,66.0,111.5,7.03,69,99,2.64,RU,1723655852
179,saint-philippe,-21.3585,55.7679,20.77,78,48,6.26,RE,1723655854
180,goure,13.9835,10.2704,28.6,59,98,3.85,NE,1723655855
181,nova xavantina,-14.6667,-52.35,38.25,12,13,1.63,BR,1723655857
182,mejit,10.2753,170.8646,27.95,76,100,7.74,MH,1723655858
183,whitehorse,60.7161,-135.0538,6.68,95,100,2.57,CA,1723655859
184,hithadhoo,-0.6,73.0833,28.25,76,97,6.19,MV,1723655861
185,balakhta,55.38,91.6,14.87,81,78,1.68,RU,1723655862
186,nova vicosa,-17.8919,-39.3719,23.71,67,99,4.28,BR,1723655864
